GEOID,NAME,B07011_001E,B07011_001M
19001,"Adair County, Iowa",38832,2001
19003,"Adams County, Iowa",36625,2638
19005,"Allamakee County, Iowa",36608,1387
19007,"Appanoose County, Iowa",29714,2013
19009,"Audubon County, Iowa",34844,2747
19011,"Benton County, Iowa",44470,2155
19013,"Black Hawk County, Iowa",35937,835
19015,"Boone County, Iowa",41196,1824
19017,"Bremer County, Iowa",41349,1227
19019,"Buchanan County, Iowa",40151,1261
19021,"Buena Vista County, Iowa",37576,1819
19023,"Butler County, Iowa",37352,1665
19025,"Calhoun County, Iowa",35373,1486
19027,"Carroll County, Iowa",37266,1913
19029,"Cass County, Iowa",36204,2347
19031,"Cedar County, Iowa",42198,2010
19033,"Cerro Gordo County, Iowa",36792,1401
19035,"Cherokee County, Iowa",36066,1331
19037,"Chickasaw County, Iowa",41733,1768
19039,"Clarke County, Iowa",36019,3236
19041,"Clay County, Iowa",36849,1824
19043,"Clayton County, Iowa",36773,1820
19045,"Clinton County, Iowa",36870,1604
19047,"Crawford County, Iowa",34852,2785
19049,"Dallas County, Iowa",54002,1834
19051,"Davis County, Iowa",38042,2646
19053,"Decatur County, Iowa",29126,2931
19055,"Delaware County, Iowa",40000,2938
19057,"Des Moines County, Iowa",33613,1671
19059,"Dickinson County, Iowa",40776,1945
19061,"Dubuque County, Iowa",40449,791
19063,"Emmet County, Iowa",33571,2354
19065,"Fayette County, Iowa",33303,1313
19067,"Floyd County, Iowa",36561,1736
19069,"Franklin County, Iowa",38201,2009
19071,"Fremont County, Iowa",38996,2290
19073,"Greene County, Iowa",36116,2577
19075,"Grundy County, Iowa",42534,1666
19077,"Guthrie County, Iowa",42135,1669
19079,"Hamilton County, Iowa",41488,3341
19081,"Hancock County, Iowa",40573,2190
19083,"Hardin County, Iowa",36774,1709
19085,"Harrison County, Iowa",40772,1734
19087,"Henry County, Iowa",33417,1783
19089,"Howard County, Iowa",35845,1467
19091,"Humboldt County, Iowa",38635,2252
19093,"Ida County, Iowa",38487,2811
19095,"Iowa County, Iowa",41646,2301
19097,"Jackson County, Iowa",38559,2342
19099,"Jasper County, Iowa",40195,1641
19101,"Jefferson County, Iowa",32698,3461
19103,"Johnson County, Iowa",36948,978
19105,"Jones County, Iowa",40556,1911
19107,"Keokuk County, Iowa",35541,1195
19109,"Kossuth County, Iowa",38101,2629
19111,"Lee County, Iowa",34263,1711
19113,"Linn County, Iowa",41424,725
19115,"Louisa County, Iowa",37878,2317
19117,"Lucas County, Iowa",35639,1659
19119,"Lyon County, Iowa",38125,2195
19121,"Madison County, Iowa",46197,1366
19123,"Mahaska County, Iowa",35785,2337
19125,"Marion County, Iowa",43660,2116
19127,"Marshall County, Iowa",37872,1614
19129,"Mills County, Iowa",46806,2406
19131,"Mitchell County, Iowa",39515,3410
19133,"Monona County, Iowa",35720,1706
19135,"Monroe County, Iowa",42148,3585
19137,"Montgomery County, Iowa",37326,2932
19139,"Muscatine County, Iowa",38281,2051
19141,"O'Brien County, Iowa",37782,3001
19143,"Osceola County, Iowa",39075,2794
19145,"Page County, Iowa",35187,2069
19147,"Palo Alto County, Iowa",37292,1590
19149,"Plymouth County, Iowa",43292,2198
19151,"Pocahontas County, Iowa",39128,2490
19153,"Polk County, Iowa",45078,587
19155,"Pottawattamie County, Iowa",39090,891
19157,"Poweshiek County, Iowa",34009,2188
19159,"Ringgold County, Iowa",35707,2933
19161,"Sac County, Iowa",39309,2123
19163,"Scott County, Iowa",42688,1040
19165,"Shelby County, Iowa",38194,2758
19167,"Sioux County, Iowa",36596,2073
19169,"Story County, Iowa",30421,1334
19171,"Tama County, Iowa",36779,1446
19173,"Taylor County, Iowa",36918,2629
19175,"Union County, Iowa",32295,2946
19177,"Van Buren County, Iowa",33645,3012
19179,"Wapello County, Iowa",35736,1741
19181,"Warren County, Iowa",46650,1560
19183,"Washington County, Iowa",38532,2164
19185,"Wayne County, Iowa",36403,1468
19187,"Webster County, Iowa",35566,1579
19189,"Winnebago County, Iowa",36510,1919
19191,"Winneshiek County, Iowa",38059,2512
19193,"Woodbury County, Iowa",36846,804
19195,"Worth County, Iowa",41447,2222
19197,"Wright County, Iowa",38223,2745
