"Search Characteristic","Values Selected"
"Counties","Entire State (All Counties)"
"Years",2023

"Total",""
"N","Births"
78,47895

Year 2023
"","Births"
"County of Residence"
"UNKNOWN",32
"Adair",251
"Alfalfa",46
"Atoka",154
"Beaver",50
"Beckham",232
"Blaine",94
"Bryan",639
"Caddo",280
"Canadian",2077
"Carter",655
"Cherokee",536
"Choctaw",179
"Cimarron",22
"Cleveland",2747
"Coal",81
"Comanche",1540
"Cotton",56
"Craig",154
"Creek",791
"Custer",350
"Delaware",404
"Dewey",40
"Ellis",43
"Garfield",751
"Garvin",331
"Grady",542
"Grant",33
"Greer",53
"Harmon",29
"Harper",33
"Haskell",132
"Hughes",154
"Jackson",363
"Jefferson",82
"Johnston",102
"Kay",525
"Kingfisher",155
"Kiowa",83
"Latimer",115
"Leflore",615
"Lincoln",352
"Logan",578
"Love",132
"McClain",524
"McCurtain",411
"McIntosh",198
"Major",91
"Marshall",184
"Mayes",448
"Murray",154
"Muskogee",815
"Noble",90
"Nowata",101
"Okfuskee",139
"Oklahoma",10923
"Okmulgee",424
"Osage",410
"Ottawa",376
"Pawnee",150
"Payne",737
"Pittsburg",424
"Pontotoc",472
"Pottawatomie",825
"Pushmataha",104
"Roger Mills",35
"Rogers",1059
"Seminole",303
"Sequoyah",509
"Stephens",510
"Texas",296
"Tillman",80
"Tulsa",8583
"Wagoner",928
"Washington",582
"Washita",86
"Woods",87
"Woodward",224

