GEOID,NAME,B01001_026E,B01001_026M
40017,"Canadian County, Oklahoma",87505,772
40027,"Cleveland County, Oklahoma",151288,913
40031,"Comanche County, Oklahoma",58823,307
40037,"Creek County, Oklahoma",37097,429
40101,"Muskogee County, Oklahoma",33678,587
40109,"Oklahoma County, Oklahoma",412020,349
40119,"Payne County, Oklahoma",41743,667
40125,"Pottawatomie County, Oklahoma",38502,355
40131,"Rogers County, Oklahoma",50234,424
40143,"Tulsa County, Oklahoma",347933,112
40145,"Wagoner County, Oklahoma",44407,634
