GEOID,NAME,B01001A_017E,B01001A_017M,B01001B_017E,B01001B_017M,B01001C_017E,B01001C_017M,B01001D_017E,B01001D_017M,B01001E_017E,B01001E_017M,B01001F_017E,B01001F_017M,B01001G_017E,B01001G_017M,B01001I_017E,B01001I_017M,B01001H_017E,B01001H_017M
40119,"Payne County, Oklahoma",32013,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31105,165
40125,"Pottawatomie County, Oklahoma",28665,310,1228,175,5419,674,NA,NA,NA,NA,NA,NA,NA,NA,1800,222,27228,165
40037,"Creek County, Oklahoma",28756,239,NA,NA,5026,480,NA,NA,NA,NA,NA,NA,1453,430,NA,NA,27381,165
40109,"Oklahoma County, Oklahoma",278459,3066,62968,2242,13803,1354,15329,950,NA,NA,12286,2613,23737,2774,68853,NA,226156,404
40131,"Rogers County, Oklahoma",34731,407,NA,NA,6234,634,NA,NA,NA,NA,NA,NA,4077,725,2487,177,33051,165
40027,"Cleveland County, Oklahoma",111234,1194,6820,1043,6765,1086,6501,767,NA,NA,NA,NA,8654,1584,12458,301,101469,165
40031,"Comanche County, Oklahoma",36283,1463,8496,2070,2742,624,NA,NA,NA,NA,NA,NA,5725,1398,8274,334,32060,222
40145,"Wagoner County, Oklahoma",30395,507,NA,NA,4096,684,NA,NA,NA,NA,NA,NA,3409,774,2370,243,28945,300
40101,"Muskogee County, Oklahoma",20207,447,3621,280,6283,958,NA,NA,NA,NA,NA,NA,3421,922,1963,181,19515,165
40017,"Canadian County, Oklahoma",61407,717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6910,556,56359,164
40143,"Tulsa County, Oklahoma",233692,1766,33830,1345,18531,1413,12259,542,NA,NA,8024,1469,26764,2271,41732,NA,204818,337
