GEOID,NAME,White,B01001A_017M,Black or African American,B01001B_017M,American Indian or Alaska Native,B01001C_017M,Asian,B01001D_017M,Native Hawaiian or Other Pacific Islander,B01001E_017M,Other,B01001F_017M,More than one race,MOE,Hispanic  or Latino,B01001I_017M,"White alone, not Hispanic or Latino",B01001H_017M
40,Oklahoma,1326167,5190,135869,4544,149649,3503,50203,1927,4703,1945,72316,5098,300229,9409,252438,2341,1265775,2712
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,White,,,,,,
,,,,,,,,,,,,,Black or African American,,,,,,
,,,,,,,,,,,,,American Indian or Alaska Native,,,,,,
,,,,,,,,,,,,,Asian,,,,,,
,,,,,,,,,,,,,Native Hawaiian or Other Pacific Islander,,,,,,
,,,,,,,,,,,,,Other,,,,,,
,,,,,,,,,,,,,Unknown,,,,,,
,,,,,,,,,,,,,More than one race,,,,,,
