GEOID,NAME,2019,2023
1,Alabama,58542,60506
2,Alaska,10502,8757
4,Arizona,89019,87133
5,Arkansas,35370,36877
6,California,450971,450412
8,Colorado,64252,68829
9,Connecticut,30781,39537
10,Delaware,8580,12165
11,District of Columbia,8375,7986
12,Florida,205856,250538
13,Georgia,134809,141228
15,Hawaii,18431,19310
16,Idaho,27171,23424
17,Illinois,147037,141318
18,Indiana,81658,90077
19,Iowa,37815,40480
20,Kansas,41058,36992
21,Kentucky,47407,54757
22,Louisiana,57992,59199
23,Maine,14130,12708
24,Maryland,73824,76658
25,Massachusetts,69139,73773
26,Michigan,115459,108698
27,Minnesota,71159,72480
28,Mississippi,35965,38972
29,Missouri,76428,78185
30,Montana,12267,13370
31,Nebraska,26897,24344
32,Nevada,37443,39429
33,New Hampshire,11966,13617
34,New Jersey,95678,108771
35,New Mexico,26945,24730
36,New York,217713,223651
37,North Carolina,129358,131195
38,North Dakota,13098,10805
39,Ohio,150899,145372
40,Oklahoma,55049,51075
41,Oregon,42254,42612
42,Pennsylvania,148956,149597
72,Puerto Rico,20986,22016
44,Rhode Island,7968,11469
45,South Carolina,63576,67375
46,South Dakota,12568,12659
47,Tennessee,78042,88073
48,Texas,390925,417167
49,Utah,45033,52625
50,Vermont,6553,5473
51,Virginia,98004,108261
53,Washington,98105,97347
54,West Virginia,21275,18092
55,Wisconsin,68675,62338
56,Wyoming,6905,8487
