County,2021,2022,2023,2024,2025
Adair County,2.9,2.291666667,2.508333333,2.633333333,3.333333333
Adams County,3.183333333,2.416666667,2.708333333,2.491666667,3.033333333
Allamakee County,4.016666667,3.725,3.925,3.808333333,6.066666667
Appanoose County,4.466666667,3.433333333,3.683333333,3.7,4.333333333
Audubon County,2.891666667,2.316666667,2.225,2.225,3.266666667
Benton County,3.8,2.875,3.066666667,2.983333333,3.733333333
Black Hawk County,4.058333333,2.916666667,3.091666667,3.65,4.4
Boone County,3.3,2.383333333,2.491666667,2.608333333,3.3
Bremer County,3.075,2.466666667,2.566666667,2.841666667,3.566666667
Buchanan County,3.458333333,2.925,2.95,3.241666667,4.066666667
Buena Vista County,3.083333333,2.533333333,2.491666667,2.616666667,2.933333333
Butler County,3.625,3.05,3.258333333,3.333333333,4.933333333
Calhoun County,3.333333333,2.408333333,2.466666667,2.566666667,3.433333333
Carroll County,2.75,2,2.25,2.116666667,2.666666667
Cass County,3.525,2.691666667,2.75,2.733333333,3.766666667
Cedar County,3.608333333,2.866666667,3.041666667,2.975,3.766666667
Cerro Gordo County,3.975,2.9,3.083333333,2.933333333,3.6
Cherokee County,2.95,2.266666667,2.325,2.266666667,3.3
Chickasaw County,3.041666667,2.408333333,2.325,2.575,3.466666667
Clarke County,3.925,3.033333333,2.875,2.783333333,3.7
Clay County,3.3,2.725,2.8,3.216666667,3.533333333
Clayton County,4.9,4.108333333,3.866666667,3.766666667,5.8
Clinton County,4.858333333,3.566666667,3.683333333,3.891666667,4.733333333
Crawford County,4.35,3.808333333,4.325,4.15,5.633333333
Dallas County,2.483333333,1.966666667,2.233333333,2.633333333,3.366666667
Davis County,2.983333333,2.458333333,2.391666667,2.65,3.366666667
Decatur County,3.533333333,2.816666667,2.825,2.9,3.666666667
Delaware County,3.225,2.533333333,2.791666667,2.791666667,4.333333333
Des Moines County,5.65,4.191666667,4.033333333,3.883333333,4.7
Dickinson County,3.816666667,3.041666667,3.05,3.091666667,4.166666667
Dubuque County,4.183333333,3.05,2.991666667,3.266666667,4.1
Emmet County,4.05,3.266666667,3.383333333,3.341666667,4.1
Fayette County,4.416666667,3.283333333,3.275,3.291666667,4.633333333
Floyd County,4.175,3.15,3.458333333,3.45,4.3
Franklin County,3.875,2.991666667,3.158333333,3.141666667,3.833333333
Fremont County,2.991666667,2.741666667,2.533333333,3.266666667,3.933333333
Greene County,3.583333333,2.408333333,2.5,2.65,3.333333333
Grundy County,3.158333333,2.425,2.558333333,2.883333333,3.766666667
Guthrie County,3.733333333,2.825,2.825,2.866666667,4.333333333
Hamilton County,3.5,2.558333333,2.425,2.375,3.066666667
Hancock County,3.433333333,2.316666667,2.683333333,2.341666667,3.333333333
Hardin County,3.5,2.816666667,2.825,2.758333333,3.6
Harrison County,3.416666667,2.7,2.575,2.491666667,3
Henry County,3.841666667,2.941666667,3.266666667,2.941666667,3.9
Howard County,3.575,3.266666667,3.241666667,3.216666667,4.2
Humboldt County,3.308333333,2.616666667,2.725,2.733333333,3.533333333
Ida County,3.191666667,2.525,2.3,2.575,3.833333333
Iowa County,3.875,2.9,3.191666667,3.183333333,4.366666667
Jackson County,4.766666667,3.441666667,3.566666667,3.716666667,4.933333333
Jasper County,4.1,3.041666667,2.925,3.025,3.966666667
Jefferson County,4.408333333,2.775,2.95,3.3,3.5
Johnson County,3.425,2.366666667,2.408333333,2.35,2.733333333
Jones County,4.041666667,3.266666667,3.441666667,3.65,5.1
Keokuk County,4.1,3.141666667,3.266666667,3.158333333,4.033333333
Kossuth County,3.158333333,2.466666667,2.591666667,2.4,3.333333333
Lee County,5.45,4.633333333,4,3.625,4.266666667
Linn County,4.391666667,3.033333333,3.316666667,3.358333333,3.966666667
Louisa County,4.125,3.3,3.233333333,3.083333333,4.366666667
Lucas County,3.1,2.408333333,2.733333333,2.908333333,3.866666667
Lyon County,2.425,2.141666667,2.283333333,2.3,3.233333333
Madison County,3.883333333,3.008333333,3.016666667,2.916666667,4.1
Mahaska County,3.366666667,2.5,2.508333333,2.4,3.066666667
Marion County,2.966666667,2.225,2.283333333,2.366666667,2.966666667
Marshall County,5.275,4.825,5.666666667,5.733333333,8.166666667
Mills County,3.15,2.383333333,2.666666667,3.208333333,3.666666667
Mitchell County,2.85,2.183333333,2.291666667,2.366666667,3.266666667
Monona County,3.983333333,2.908333333,2.683333333,2.725,3.633333333
Monroe County,3.925,2.95,2.833333333,3.125,4.166666667
Montgomery County,3.65,2.4,2.5,2.358333333,3.133333333
Muscatine County,4.225,3.008333333,3.108333333,3.45,4.2
O'Brien County,3.016666667,2.391666667,2.591666667,2.325,2.933333333
Osceola County,2.308333333,1.891666667,1.933333333,1.95,2.333333333
Page County,3.316666667,2.225,2.208333333,2.558333333,3.066666667
Palo Alto County,2.858333333,2.441666667,2.325,2.475,3
Plymouth County,2.908333333,2.291666667,2.216666667,2.366666667,2.7
Pocahontas County,3.2,2.591666667,2.608333333,2.841666667,3.8
Polk County,4.1,2.808333333,2.85,3.058333333,3.866666667
Pottawattamie County,4.075,2.975,3.033333333,3.091666667,3.9
Poweshiek County,4.108333333,2.883333333,2.941666667,2.7,3.966666667
Ringgold County,3.3,2.466666667,2.3,2.558333333,3.066666667
Sac County,3.125,2.6,2.491666667,3.083333333,3.866666667
Scott County,4.866666667,3.258333333,3.341666667,3.708333333,4.333333333
Shelby County,3.2,2.508333333,2.608333333,2.55,3.166666667
Sioux County,2.241666667,1.941666667,1.966666667,2,2.833333333
Story County,2.991666667,2.266666667,2.308333333,2.341666667,2.8
Tama County,4.575,3.641666667,4.25,4.35,6.266666667
Taylor County,2.833333333,2,2.116666667,2,2.566666667
Union County,4.1,2.908333333,3,2.966666667,3.733333333
Van Buren County,3.875,3.241666667,3.325,2.958333333,3.733333333
Wapello County,4.6,3.366666667,3.433333333,3.608333333,4.133333333
Warren County,3.433333333,2.566666667,2.633333333,2.708333333,3.566666667
Washington County,3.4,2.633333333,2.516666667,2.4,3.4
Wayne County,2.991666667,2.341666667,2.541666667,2.533333333,3.5
Webster County,4.5,3.3,3.258333333,3.133333333,3.733333333
Winnebago County,3.3,2.416666667,3.233333333,2.45,3.366666667
Winneshiek County,3.575,3.008333333,3.016666667,2.883333333,4.366666667
Woodbury County,4,2.9,2.916666667,2.991666667,3.8
Worth County,3.533333333,2.525,2.616666667,2.525,3.566666667
Wright County,4.175,2.875,2.75,2.408333333,3.266666667
State ,2.8,2.88,2.93,3.81,
